# header: effective temperature (Teff [K]), surface gravity (logg [cm s^-2]), metallicity ([M/H]), microturbulence velocity (xi_mtb [km s^-1]), whether g_rad is on or off (grad), photospheric density (rho_ph), and magnitudes in various photometric bands (mag_B, mag_R1, mag_R2, mag_Z, mag_J, mag_H, mag_K).
Teff,logg,M/H,xi_mtb,grad,rho_ph,mag_B,mag_R1,mag_R2,mag_Z,mag_J,mag_H,mag_K
4500,-3.25,-1.0,2,False,4.076170397183029e-12,-33.73957187010856,-34.75163153534066,-34.985463882505506,-35.23384809997129,-35.18017548382256,-34.871450080147035,-34.56189952974495
4500,-3.0,-1.0,2,True,7.195051928993099e-12,-33.52730912799235,-34.68622704148035,-34.960336902241295,-35.26434930154624,-35.24802173019162,-34.9533226457146,-34.6436335005042
4500,-3.0,-1.0,2,False,1.0742544715447154e-11,-33.3679560645433,-34.62933701915367,-34.931600740053234,-35.27722027308534,-35.29436745757033,-35.03190541776262,-34.71245031538888
4500,-2.85,-1.0,2,True,1.4062029438379636e-11,-33.278110692723104,-34.59668846896167,-34.91474437291102,-35.28041471207926,-35.31763680547766,-35.069604115210666,-34.74974362141317
4500,-2.75,-1.0,2,True,1.9782023338315895e-11,-33.170979039881196,-34.55357078710172,-34.88943459583814,-35.279462712138,-35.34354635903345,-35.12717177044504,-34.8010123730301
4500,-2.5,-1.0,2,True,3.99792407438939e-11,-33.014498520476174,-34.4815741745295,-34.84189883356247,-35.263745086794735,-35.37636409741974,-35.23454446787561,-34.89433098785278
4500,-2.0,-1.0,2,True,1.2235032134292566e-10,-32.93336874123502,-34.42708582798656,-34.79442638290819,-35.2214070082572,-35.383276584437944,-35.362442255511574,-34.99997394877192
4500,-1.5,-1.0,2,True,3.1264627643339875e-10,-33.01001049832581,-34.43625170326539,-34.78378577842098,-35.185450458544985,-35.36357433459266,-35.42249724053167,-35.045652005612446
4500,-1.0,-1.0,2,True,7.252618677435639e-10,-33.14668178127023,-34.466567194543984,-34.785630745446106,-35.15527747454664,-35.33759539640729,-35.448050123851495,-35.0637697130935
4500,-0.5,-1.0,2,True,1.5723580446218031e-09,-33.29802349882609,-34.49682042656355,-34.78692758309744,-35.12772942089254,-35.31127801374128,-35.45781702859892,-35.06876829149837
4500,0.0,-1.0,2,True,3.266003975955084e-09,-33.43052468393464,-34.515974381784844,-34.78197491309342,-35.10142449669044,-35.28683243004957,-35.46049513386555,-35.069229046794476
4500,0.5,-1.0,2,True,6.5778020975668234e-09,-33.53557220012903,-34.52419196388105,-34.77217604488158,-35.07764576782981,-35.265470062099354,-35.45824552256876,-35.066540122897976
4500,1.0,-1.0,2,True,1.2916758625613565e-08,-33.61272345297459,-34.52495498608958,-34.76061152094245,-35.05792840150264,-35.2483193919794,-35.45640415075368,-35.06345545644856
4500,1.5,-1.0,2,True,2.5161997744725267e-08,-33.66542437851039,-34.52042636244268,-34.74826605071141,-35.041298983715706,-35.23412577835484,-35.45257167316832,-35.05927186146812
4600,-2.75,-1.0,2,True,1.3339426848401648e-11,-33.59385710071664,-34.76497645642094,-35.04118027503122,-35.3573565197634,-35.35870129187508,-35.098875199317156,-34.77317888325994
4600,-2.5,-1.0,2,True,3.007502825993401e-11,-33.37969535717613,-34.68240085478962,-34.99379635522294,-35.35638568772789,-35.41570650859134,-35.229125451612255,-34.88679162909013
4600,-2.0,-1.0,2,True,9.863499141691289e-11,-33.253434469917266,-34.61233084945269,-34.94009608008305,-35.32015721200563,-35.44046917408585,-35.37683526684634,-35.009313134855844
4600,-1.5,-1.0,2,True,2.6076830771773263e-10,-33.298977463370754,-34.6065667096798,-34.92124278790752,-35.2839612802789,-35.42787996996179,-35.44693010417624,-35.06320055549706
4600,-1.0,-1.0,2,True,6.227635640959282e-10,-33.40441472267755,-34.623147097478004,-34.91565507088223,-35.25258255670436,-35.40557386625147,-35.480144942260246,-35.08722656294371
4600,-0.5,-1.0,2,True,1.385176541875028e-09,-33.52964271145507,-34.643919712936935,-34.912456577582105,-35.2248485601836,-35.38154499904181,-35.493033219903374,-35.09551501040261
4600,0.0,-1.0,2,True,2.93542033727431e-09,-33.64472289254422,-34.65849257036269,-34.906137577432894,-35.19943987629044,-35.358769065119496,-35.49660859098757,-35.09699174538109
4600,0.5,-1.0,2,True,6.005983882301274e-09,-33.73768214019621,-34.66429330648587,-34.89581919791589,-35.176303050895655,-35.338340580937874,-35.49389645528244,-35.09402553446836
4600,1.0,-1.0,2,True,1.1973346737213404e-08,-33.805545383047026,-34.663489370473364,-34.8838423952307,-35.15660843143291,-35.32139602906179,-35.4919547836202,-35.0914686670166
4600,1.5,-1.0,2,True,2.3473391040843217e-08,-33.85285441719918,-34.658852211710695,-34.87182309145686,-35.140386288339755,-35.307698193894275,-35.48883512286271,-35.08832282050953
4800,-2.65,-1.0,2,True,6.6931824518578785e-12,-34.28945342900227,-35.0913061820643,-35.26868654921996,-35.46132581327581,-35.371664551365534,-35.068639741327836,-34.740316297746865
4800,-2.5,-1.0,2,True,1.4182341468748633e-11,-34.103819484893776,-35.0416920005689,-35.2534690167463,-35.49869128704287,-35.45079431071882,-35.18362617358909,-34.8427919420904
4800,-2.25,-1.0,2,True,3.214433904093783e-11,-33.93577465928209,-34.985255555883604,-35.225026791820085,-35.50741456960194,-35.50987236917223,-35.305261070740464,-34.94705883717914
4800,-2.0,-1.0,2,True,6.060203770681032e-11,-33.86524159550489,-34.95094992863428,-35.20152085446773,-35.49655161356462,-35.53284978187252,-35.38441001972265,-35.01234026481592
4800,-1.5,-1.0,2,True,1.748716295966785e-10,-33.83791167861142,-34.919791630521885,-35.17189073205156,-35.4631804560682,-35.54027841380572,-35.483444787416055,-35.09138427940057
4800,-1.0,-1.0,2,True,4.390471047142261e-10,-33.893055740879696,-34.9156320254881,-35.155906271748286,-35.43116573680329,-35.5269627850666,-35.530086215612826,-35.1261667262085
4800,-0.5,-1.0,2,True,1.023766454702465e-09,-33.97132989570499,-34.919491306970386,-35.1448813021825,-35.40326362580698,-35.50830463634255,-35.5506897580217,-35.14068199661564
4800,0.0,-1.0,2,True,2.2677392341643804e-09,-34.04894508957217,-34.92336422384011,-35.134730603688524,-35.37892346179892,-35.48953073771117,-35.55955945644073,-35.146554048531975
4800,0.5,-1.0,2,True,4.816263402018146e-09,-34.116354653956904,-34.92349338399527,-35.123092322118396,-35.35715901086932,-35.47159929379588,-35.558665471666316,-35.145537152527936
4800,1.0,-1.0,2,True,9.898487037037037e-09,-34.16561436545988,-34.91980431956452,-35.11096701720115,-35.33850686766537,-35.456198323508325,-35.5586764621994,-35.14471311932797
4800,1.5,-1.0,2,True,1.9993096370218183e-08,-34.1986863967868,-34.91261739713367,-35.098172712381206,-35.3222143586578,-35.44283027616155,-35.55633728837323,-35.142639323610105
5000,-4.0,-1.0,2,False,2.6721068141314603e-16,-34.675678082694624,-34.70846138944421,-34.699801467745566,-34.3973126551535,-34.19824751988064,-33.853685021639684,-33.56168112628347
5000,-3.5,-1.0,2,False,1.0236595136844402e-15,-34.80479337580714,-34.91182473940587,-34.93088759696111,-34.65590592578129,-34.4959689848328,-34.162545419126225,-33.88742461347245
5000,-3.25,-1.0,2,False,3.8407122502552135e-15,-34.862926362758,-35.0269242702746,-35.06842988467149,-34.811262306097916,-34.68609693782306,-34.36157625230039,-34.10367313921591
5000,-3.0,-1.0,2,False,4.727274356831057e-13,-34.93074538570406,-35.283412040569495,-35.35812564364178,-35.3309579601737,-35.18941169295472,-34.87553428905396,-34.555843235436946
5000,-2.75,-1.0,2,False,2.423778464029609e-12,-34.824592126217425,-35.312315527146055,-35.410931324357435,-35.49531890342426,-35.34482038174849,-35.03068979928088,-34.69465053729578
5000,-2.5,-1.0,2,False,7.954679222754582e-12,-34.64868830629763,-35.2967365629872,-35.43368179737075,-35.59359536771274,-35.474235914518154,-35.177935201745775,-34.82965542910702
5000,-2.47,-1.0,2,True,3.315671185292695e-12,-34.77567915885651,-35.31271225035797,-35.424014880062636,-35.522538361119665,-35.382165589315335,-35.065835538903315,-34.73303365674991
5000,-2.45,-1.0,2,True,4.576617870095615e-12,-34.73164833580017,-35.30898503235767,-35.42959570590896,-35.550611122318315,-35.41609946679243,-35.10358448396305,-34.767082747627114
5000,-2.4,-1.0,2,True,7.0996987294151046e-12,-34.66357654955752,-35.30014959879357,-35.4348339712489,-35.58514024230207,-35.463069804406445,-35.15943040683177,-34.81750265889929
5000,-2.25,-1.0,2,True,1.5244576852418858e-11,-34.529866104631395,-35.272975361594895,-35.433664566896034,-35.62707628288969,-35.538380429888946,-35.26492612628112,-34.91000525119662
5000,-2.25,-1.0,2,False,1.9003745098039216e-11,-34.495164926963405,-35.26337613544606,-35.42996727932035,-35.63404127812048,-35.55559653864372,-35.29493945694584,-34.93472313554501
5000,-2.0,-1.0,2,True,3.4442703821707297e-11,-34.411207171558964,-35.23774551743713,-35.41919768825442,-35.6423684995473,-35.59589152929932,-35.37368552512837,-35.001334111021286
5000,-2.0,-1.0,2,False,3.750596965209032e-11,-34.40385801247915,-35.23401643990193,-35.416991527531934,-35.642125333227014,-35.60024171260653,-35.38594392827033,-35.01053130044285
5000,-1.75,-1.0,2,True,6.511464495054059e-11,-34.34822775974168,-35.21252622738382,-35.4044297268089,-35.63659043490807,-35.62302706331532,-35.45103731363464,-35.065904028259695
5000,-1.5,-1.0,2,True,1.1287612617702447e-10,-34.32362586288511,-35.19529574782666,-35.39085698435295,-35.622957210267685,-35.63333018405051,-35.504916988047164,-35.10861234188645
5000,-1.0,-1.0,2,True,2.9924340836137215e-10,-34.334717343724755,-35.1771406962849,-35.36967008392259,-35.592232176484806,-35.63203183775921,-35.568455957631485,-35.157864655459704
5000,-0.5,-1.0,2,True,7.239906171579743e-10,-34.3752748354574,-35.16877834587024,-35.35358051998694,-35.563848251874845,-35.61971041370923,-35.59927629575153,-35.180822070658735
5000,0.0,-1.0,2,True,1.6587716764821356e-09,-34.42072143576276,-35.16287273439119,-35.339454496514165,-35.53927201197936,-35.60454581702299,-35.61311226993216,-35.19072016899466
5000,0.5,-1.0,2,True,3.652820153567059e-09,-34.461311926168925,-35.15676543307639,-35.326199335590886,-35.51834359305767,-35.58965265790332,-35.61833367118854,-35.19417035749909
5000,1.0,-1.0,2,True,7.810071539908627e-09,-34.492980208725406,-35.14934028836718,-35.31324713812206,-35.500415418943014,-35.576011543760686,-35.618497369462226,-35.19424731516945
5000,1.5,-1.0,2,True,1.6224534273157923e-08,-34.51504388564234,-35.1404074124944,-35.300386191674235,-35.484804580799896,-35.56360671762095,-35.61572346692173,-35.191446737095205
5500,-1.85,-1.0,2,True,6.519230312802322e-12,-35.380629375060984,-35.723040959410916,-35.78019226378605,-35.85556812089679,-35.6648029200359,-35.35135092773056,-34.979691935486414
5500,-1.75,-1.0,2,True,1.176155370149649e-11,-35.35486871864332,-35.724791852758436,-35.789196305456926,-35.89181525229796,-35.709627625815244,-35.407504721056064,-35.027179828920445
5500,-1.5,-1.0,2,True,2.9786431209602956e-11,-35.30145871724636,-35.7197458905687,-35.798127960599835,-35.92777135643794,-35.77475813199627,-35.50353136217991,-35.1075764289469
5500,-1.25,-1.0,2,True,5.879192625809666e-11,-35.26861277776087,-35.71183819296469,-35.79847472562256,-35.93543304879737,-35.81012012469075,-35.57109309778532,-35.16270925239739
5500,-1.0,-1.0,2,True,1.0489447608747895e-10,-35.24584526326323,-35.70239068239039,-35.794757377099565,-35.93047592160966,-35.82853512453779,-35.61479332851619,-35.19994680476256
5500,-0.5,-1.0,2,True,2.8317283453525636e-10,-35.22239923253105,-35.68782626543636,-35.784411163883064,-35.91085706436138,-35.84456903141296,-35.68448417753024,-35.253270966242184
5500,0.0,-1.0,2,True,6.933093575512951e-10,-35.21547124757803,-35.67121339648433,-35.76988601039193,-35.88610314219559,-35.842987001526645,-35.717171801978076,-35.27957666239633
5500,0.5,-1.0,2,True,1.619011087305838e-09,-35.21377576984095,-35.65554198812504,-35.75474431211702,-35.86348305330509,-35.835286934374395,-35.73161888967337,-35.29249603550192
5500,1.0,-1.0,2,True,3.6314090209020902e-09,-35.203712550477746,-35.639445678483256,-35.74057824390124,-35.84405884937479,-35.82693778769881,-35.74282716567865,-35.30044897927412
5500,1.5,-1.0,2,True,8.104149315673291e-09,-35.194784630694144,-35.62406218976831,-35.726480852386786,-35.827453393884475,-35.81773646854893,-35.74729294544437,-35.30446988252467
6000,-1.4,-1.0,2,True,3.752421497975709e-12,-35.88186414084249,-36.070721443198664,-36.081609748127185,-36.085430645380995,-35.84921483099865,-35.51717852987752,-35.1228389391293
6000,-1.25,-1.0,2,True,1.1437147068676718e-11,-35.89856049213519,-36.07723700320134,-36.08639054052706,-36.14563693160959,-35.90100675354163,-35.580320560946895,-35.17161337560272
6000,-1.0,-1.0,2,True,2.972345738529699e-11,-35.89568472753409,-36.07886052017062,-36.093585471789304,-36.17775201378016,-35.94810303203443,-35.645819000954084,-35.224938610119864
6000,-0.5,-1.0,2,True,1.0606680845708532e-10,-35.8760837143504,-36.07719874540686,-36.10193174907666,-36.18924314175944,-35.9993587631941,-35.73384546917653,-35.2971326328618
6000,0.0,-1.0,2,True,2.8972597432370473e-10,-35.85199369325089,-36.07228918288257,-36.10431866557878,-36.17768181358023,-36.0227608319949,-35.78800002230667,-35.34208560253959
6000,0.5,-1.0,2,True,7.101816623649746e-10,-35.82509021318108,-36.06258885902494,-36.10065950975196,-36.15926365671503,-36.030932379967574,-35.82107191420431,-35.36996315196975
6000,1.0,-1.0,2,True,1.66481992367626e-09,-35.804433778799,-36.04925334839412,-36.09224455287751,-36.13964358031113,-36.03069148576624,-35.83590944878127,-35.384776885060056
